,Case-Nom,Case-Gen,Case-Acc,Case-Loc,Case-Dat,Case-Ins
Case-Nom,1.0,0.09090909090909091,0.15517241379310345,0.14285714285714285,0.02564102564102564,0.025089605734767026
Case-Gen,0.09090909090909091,1.0,0.04285714285714286,0.15,0.0,0.05415162454873646
Case-Acc,0.15517241379310345,0.04285714285714286,1.0,0.08536585365853659,0.12173913043478261,0.07371794871794872
Case-Loc,0.14285714285714285,0.15,0.08536585365853659,1.0,0.0,0.11191335740072202
Case-Dat,0.02564102564102564,0.0,0.12173913043478261,0.0,1.0,0.0
Case-Ins,0.025089605734767026,0.05415162454873646,0.07371794871794872,0.11191335740072202,0.0,1.0
