layer,k=1,k=2,k=3,k=4,k=5,k=6
layer1,35,13,8,19,14,0
layer2,33,8,7,28,8,0
layer3,9,3,1,2,2,0
layer4,4,0,2,3,0,0
layer5,6,1,0,3,4,0
layer6,2,0,1,2,5,0
layer7,4,0,1,2,1,0
layer8,7,2,2,4,4,0
layer9,1,1,4,1,3,0
layer10,19,3,4,3,2,0
layer11,19,2,2,5,4,0
layer12,21,6,4,10,5,0
