,UPOS-NOUN,UPOS-VERB,UPOS-ADJ,UPOS-ADV,UPOS-PRON,UPOS-ADP
UPOS-NOUN,171,140,165,138,64,7
UPOS-VERB,140,158,149,136,59,8
UPOS-ADJ,165,149,239,156,64,4
UPOS-ADV,138,136,156,209,55,6
UPOS-PRON,64,59,64,55,78,8
UPOS-ADP,7,8,4,6,8,79
