,Case-Nom,Case-Gen,Case-Acc,Case-Loc,Case-Dat,Case-Ins
Case-Nom,1.0,0.19318181818181818,0.22905027932960895,0.1834862385321101,0.441340782122905,0.024691358024691357
Case-Gen,0.19318181818181818,1.0,0.07432432432432433,0.25925925925925924,0.07650273224043716,0.05027932960893855
Case-Acc,0.22905027932960895,0.07432432432432433,1.0,0.14375,0.13454545454545455,0.26778242677824265
Case-Loc,0.1834862385321101,0.25925925925925924,0.14375,1.0,0.09950248756218906,0.16483516483516483
Case-Dat,0.441340782122905,0.07650273224043716,0.13454545454545455,0.09950248756218906,1.0,0.02710843373493976
Case-Ins,0.024691358024691357,0.05027932960893855,0.26778242677824265,0.16483516483516483,0.02710843373493976,1.0
