layer,k=1,k=2,k=3,k=4,k=5,k=6
layer1,41,22,1,0,0,0
layer2,45,17,19,2,4,0
layer3,11,6,3,1,1,0
layer4,12,3,2,0,1,0
layer5,14,3,2,1,1,0
layer6,1,1,0,0,0,0
layer7,3,3,0,1,0,0
layer8,3,3,1,1,0,0
layer9,5,2,2,1,0,0
layer10,8,4,3,1,0,0
layer11,16,10,3,0,0,0
layer12,45,26,8,4,2,0
