,Gender-Fem,Gender-Masc,Gender-Neut,Gender-Com
Gender-Fem,1.0,0.4647887323943662,0.19672131147540983,0.165625
Gender-Masc,0.4647887323943662,1.0,0.23232323232323232,0.08385093167701864
Gender-Neut,0.19672131147540983,0.23232323232323232,1.0,0.08310249307479224
Gender-Com,0.165625,0.08385093167701864,0.08310249307479224,1.0
