,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12
ar,0,0,0,0,0,0,0,0,0,0,0,1
de,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,0,0,0,0,0
fr,0,0,0,0,0,0,0,0,0,0,0,0
hi,0,0,4,1,1,0,0,0,0,0,4,11
ja,2,56,24,20,14,24,12,19,12,35,39,76
ru,0,2,3,0,0,0,0,0,0,0,1,8
tr,0,0,0,0,0,0,0,0,0,0,0,0
