layer,k=1,k=2,k=3,k=4,k=5,k=6
layer1,26,10,12,30,10,1
layer2,20,11,8,13,18,1
layer3,5,2,3,2,4,0
layer4,6,1,3,3,0,0
layer5,1,1,1,4,1,0
layer6,2,2,0,3,2,0
layer7,6,5,1,3,1,0
layer8,3,3,7,9,4,0
layer9,1,0,1,2,3,0
layer10,18,5,6,1,2,1
layer11,7,6,2,8,9,1
layer12,12,12,9,10,4,1
