,UPOS-NOUN,UPOS-VERB,UPOS-ADJ,UPOS-ADV,UPOS-PRON,UPOS-ADP
UPOS-NOUN,1.0,0.8603603603603603,0.6853146853146853,0.625,0.27350427350427353,0.04693140794223827
UPOS-VERB,0.8603603603603603,1.0,0.657439446366782,0.5936254980079682,0.2826086956521739,0.05904059040590406
UPOS-ADJ,0.6853146853146853,0.657439446366782,1.0,0.6006825938566553,0.20132013201320131,0.03188405797101449
UPOS-ADV,0.625,0.5936254980079682,0.6006825938566553,1.0,0.2895927601809955,0.06130268199233716
UPOS-PRON,0.27350427350427353,0.2826086956521739,0.20132013201320131,0.2895927601809955,1.0,0.23741007194244604
UPOS-ADP,0.04693140794223827,0.05904059040590406,0.03188405797101449,0.06130268199233716,0.23741007194244604,1.0
