,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12
UPOS-NOUN,52,41,9,5,6,4,5,19,6,9,21,31
UPOS-VERB,55,36,7,6,6,5,6,17,7,12,22,26
UPOS-ADJ,76,56,14,10,8,7,5,20,6,16,22,34
UPOS-ADV,58,48,9,4,6,5,6,16,5,6,16,16
UPOS-PRON,10,21,5,1,1,4,5,7,3,7,16,10
UPOS-ADP,7,12,2,3,0,3,9,7,0,16,11,12
