,Gender-Fem,Gender-Masc,Gender-Neut
Gender-Fem,1.0,0.4444444444444444,0.0821529745042493
Gender-Masc,0.4444444444444444,1.0,0.03804347826086957
Gender-Neut,0.0821529745042493,0.03804347826086957,1.0
